dataset,seed,model,calibration,shift,severity,temperature,n_test,accuracy,mean_confidence,confidence_gap,ece,brier,nll,aurc
Breast Cancer,1,Logistic Regression,Temperature scaled,Feature masking,0.5,1.0202465820156168,114,0.9385964912280702,0.9283892074276465,-0.010207283800423683,0.04333927389171237,0.08785488639066771,0.1535708608256213,0.007479247504383304
Breast Cancer,1,Random Forest,Raw,Gaussian noise,0.0,0.6312597943406874,114,0.9649122807017544,0.9338913951543425,-0.03102088554741189,0.03897460317481365,0.07057059042526953,0.13806595908157077,0.009200307228942271
Breast Cancer,1,Random Forest,Temperature scaled,Gaussian noise,0.0,0.6312597943406874,114,0.9649122807017544,0.9598526497219321,-0.005059630979822316,0.0306507764357288,0.06647017488073921,0.14283591333507062,0.009200307228942271
Breast Cancer,1,Random Forest,Raw,Gaussian noise,0.25,0.6312597943406874,114,0.9473684210526315,0.913794987468584,-0.03357343358404752,0.045843609022644116,0.07691057524375312,0.1412838210586984,0.0047485122727797474
Breast Cancer,1,Random Forest,Temperature scaled,Gaussian noise,0.25,0.6312597943406874,114,0.9473684210526315,0.9519726716061511,0.00460425055351954,0.02827489219226427,0.071979800712146,0.12140528966298793,0.0047485122727797474
Breast Cancer,1,Random Forest,Raw,Gaussian noise,0.5,0.6312597943406874,114,0.9210526315789473,0.8420224171539786,-0.07903021442496871,0.109404817599572,0.12790456475173825,0.23719333581513402,0.013346748432700574
Breast Cancer,1,Random Forest,Temperature scaled,Gaussian noise,0.5,0.6312597943406874,114,0.9210526315789473,0.9054098779728377,-0.01564275360610967,0.0446833456374672,0.10931284207939415,0.19252407735345123,0.013346748432700574
Breast Cancer,1,Random Forest,Raw,Gaussian noise,1.0,0.6312597943406874,114,0.9035087719298246,0.7327152882205512,-0.17079348370927339,0.18905831244778606,0.2139178262524035,0.36514611317028106,0.024702010481794514
Breast Cancer,1,Random Forest,Temperature scaled,Gaussian noise,1.0,0.6312597943406874,114,0.9035087719298246,0.8030693376906005,-0.10043943423922408,0.11912519736521897,0.17138514842351632,0.29587758207136394,0.024702010481794514
Breast Cancer,1,Random Forest,Raw,Gaussian noise,1.5,0.6312597943406874,114,0.7719298245614035,0.6711452520189363,-0.1007845725424672,0.10078457254246732,0.3389141707446747,0.5161992614096479,0.11389197626179037
Breast Cancer,1,Random Forest,Temperature scaled,Gaussian noise,1.5,0.6312597943406874,114,0.7719298245614035,0.7383285037689614,-0.033601320792442047,0.04320841446789229,0.31826167249842546,0.4855140064037291,0.11389197626179037
Breast Cancer,1,Random Forest,Raw,Gaussian noise,2.0,0.6312597943406874,114,0.6578947368421053,0.6519307156780842,-0.0059640211640210605,0.07525040378724593,0.39609144110151917,0.5777150603051858,0.17170664084245327
Breast Cancer,1,Random Forest,Temperature scaled,Gaussian noise,2.0,0.6312597943406874,114,0.6578947368421053,0.7165365442866485,0.05864180744454317,0.08864101778457704,0.39553189223192375,0.5687315976737559,0.17170664084245327
Breast Cancer,1,Random Forest,Raw,Feature masking,0.0,0.6312597943406874,114,0.9649122807017544,0.9338913951543425,-0.03102088554741189,0.03897460317481366,0.07057059042526953,0.1380659590815708,0.009200307228942271
Breast Cancer,1,Random Forest,Temperature scaled,Feature masking,0.0,0.6312597943406874,114,0.9649122807017544,0.9598526497219321,-0.005059630979822316,0.030650776435728794,0.06647017488073922,0.14283591333507062,0.009200307228942271
Breast Cancer,1,Random Forest,Raw,Feature masking,0.1,0.6312597943406874,114,0.9649122807017544,0.9011402673349166,-0.0637720133668378,0.06585956558070592,0.08168463340414528,0.16993831175949017,0.01613123084245322
Breast Cancer,1,Random Forest,Temperature scaled,Feature masking,0.1,0.6312597943406874,114,0.9649122807017544,0.9420460518018668,-0.022866228899887542,0.03429382669657656,0.0705343199214639,0.15472748376669132,0.01613123084245322
Breast Cancer,1,Random Forest,Raw,Feature masking,0.2,0.6312597943406874,114,0.956140350877193,0.8828141186298903,-0.07332623224730261,0.08321294903928227,0.09267160013844136,0.18457406894490913,0.01142586594928762
Breast Cancer,1,Random Forest,Temperature scaled,Feature masking,0.2,0.6312597943406874,114,0.956140350877193,0.9358291335812379,-0.020311217295955086,0.034337862152540005,0.0773528280997765,0.15271114022516816,0.01142586594928762
Breast Cancer,1,Random Forest,Raw,Feature masking,0.3,0.6312597943406874,114,0.9473684210526315,0.8656762740183793,-0.0816921470342522,0.09077485380116955,0.107678461822811,0.21386100338164843,0.018801836829799357
Breast Cancer,1,Random Forest,Temperature scaled,Feature masking,0.3,0.6312597943406874,114,0.9473684210526315,0.9271814353897898,-0.020186985662841717,0.04497614153600925,0.09185043574640368,0.17772677122091932,0.018801836829799357
Breast Cancer,1,Random Forest,Raw,Feature masking,0.4,0.6312597943406874,114,0.956140350877193,0.8206291562238932,-0.13551119465329975,0.13911704260651633,0.12308117790826273,0.2514222807588357,0.02627927881100479
Breast Cancer,1,Random Forest,Temperature scaled,Feature masking,0.4,0.6312597943406874,114,0.956140350877193,0.8917296792744571,-0.06441067160273584,0.0690898522012222,0.0898632450225945,0.19149855842761498,0.02627927881100479
Breast Cancer,1,Random Forest,Raw,Feature masking,0.5,0.6312597943406874,114,0.956140350877193,0.7916394319131161,-0.16450091896407681,0.1649361737677527,0.1349492912312527,0.2691584691348366,0.008768407093875233
Breast Cancer,1,Random Forest,Temperature scaled,Feature masking,0.5,0.6312597943406874,114,0.956140350877193,0.8697846199807487,-0.08635573089644422,0.08704513144863905,0.09320978941939137,0.18867472510329616,0.008768407093875233
Breast Cancer,1,Gradient Boosting,Raw,Gaussian noise,0.0,1.0824259199371193,114,0.9736842105263158,0.9734447351058839,-0.0002394754204319005,0.023836429156269115,0.04646761224014238,0.09315061910359962,0.0040944635074631145
Breast Cancer,1,Gradient Boosting,Temperature scaled,Gaussian noise,0.0,1.0824259199371193,114,0.9736842105263158,0.9703683988564156,-0.0033158116699002482,0.02949486025024269,0.04657346952825921,0.09188938667576584,0.0040944635074631145
Breast Cancer,1,Gradient Boosting,Raw,Gaussian noise,0.25,1.0824259199371193,114,0.9736842105263158,0.9690056963064305,-0.004678514219885299,0.02272291337025639,0.03720922443637164,0.06577609444007478,0.0014971943890483969
Breast Cancer,1,Gradient Boosting,Temperature scaled,Gaussian noise,0.25,1.0824259199371193,114,0.9736842105263158,0.9652145702672084,-0.008469640259107458,0.02485923484099836,0.037625580655166364,0.06775646323127905,0.0014971943890483969
Breast Cancer,1,Gradient Boosting,Raw,Gaussian noise,0.5,1.0824259199371193,114,0.9385964912280702,0.9583850293293373,0.019788538101267128,0.03912849543081241,0.10038158918681978,0.17287392237495924,0.008179502804813929
Breast Cancer,1,Gradient Boosting,Temperature scaled,Gaussian noise,0.5,1.0824259199371193,114,0.9385964912280702,0.9533054508513505,0.014708959623280338,0.03569986203106668,0.0992735216873178,0.16899797191408059,0.008179502804813929
