dataset,seed,model,severity,n_test,n_errors,accuracy,confidence_all,confidence_correct,confidence_error,margin_all,margin_correct,margin_error,high_confidence_error_rate,vote_agreement,vote_agreement_error,vote_entropy,vote_entropy_error,disagreement_confidence_correlation
Breast Cancer,3,Random Forest,0.5,114,7,0.9385964912280702,0.8535040239487607,0.8692029817534492,0.6135342403628119,0.7070080478975215,0.7384059635068981,0.22706848072562355,0.0,0.8470526315789474,0.6325714285714286,0.5146605664781861,0.927012239971521,-0.9786499806627139
Breast Cancer,3,Random Forest,1.0,114,12,0.8947368421052632,0.7470362851573379,0.7626732181761594,0.6141223544973545,0.49407257031467555,0.5253464363523187,0.22824470899470903,0.0,0.7458596491228069,0.6639999999999999,0.7208170124027977,0.8963057206934759,-0.9620904755248249
Breast Cancer,3,Random Forest,1.5,114,25,0.7807017543859649,0.6943159844054582,0.7192126627429999,0.6056838095238095,0.38863196881091616,0.43842532548599966,0.211367619047619,0.0,0.6984912280701754,0.6454400000000001,0.8160586563098979,0.9235340250223382,-0.9452299667002786
Breast Cancer,3,Random Forest,2.0,114,36,0.6842105263157895,0.6556909635199109,0.6800121693121692,0.6029950176366844,0.3113819270398218,0.3600243386243386,0.20599003527336865,0.0,0.6716140350877193,0.6461111111111111,0.8567822884217563,0.9172405120045214,-0.9319625188803454
Breast Cancer,3,Gradient Boosting,0.0,114,4,0.9649122807017544,0.9861459200986907,0.9876340644651179,0.9452219500219474,6.141776583945381,6.251603840578121,3.1215270265450443,1.0,,,,,
Breast Cancer,3,Gradient Boosting,0.25,114,3,0.9736842105263158,0.9799787872899791,0.9801750139040719,0.9727184025685491,5.757705275244055,5.81541678413236,3.6223794463767707,1.0,,,,,
Breast Cancer,3,Gradient Boosting,0.5,114,7,0.9385964912280702,0.9500122524415261,0.9627606693563353,0.755143593886588,4.857886903294163,5.086998722730453,1.355749091910868,0.2857142857142857,,,,,
Breast Cancer,3,Gradient Boosting,1.0,114,15,0.868421052631579,0.9086118093906291,0.9232844900185636,0.8117721172462623,3.7816707411352533,4.092550775720669,1.7298625128715066,0.26666666666666666,,,,,
Breast Cancer,3,Gradient Boosting,1.5,114,31,0.7280701754385965,0.876886730097348,0.9050661738630497,0.8014385419504694,3.0234970035016153,3.467159958711533,1.8356252201976428,0.3548387096774194,,,,,
Breast Cancer,3,Gradient Boosting,2.0,114,42,0.631578947368421,0.8683866685881833,0.899146990607464,0.8156546879837023,2.7472408899304703,3.17878377307224,2.0074530902588656,0.4523809523809524,,,,,
